Sample in Buffer,Sample in Window,TRIGGER,audio_bd_i/system_ila_0/U0/probe0_1[9:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
389,389,0,138
390,390,0,138
391,391,0,138
392,392,0,138
393,393,0,138
394,394,0,138
395,395,0,138
396,396,0,138
397,397,0,138
398,398,0,138
399,399,0,138
400,400,0,138
401,401,0,138
402,402,0,138
403,403,0,138
404,404,0,138
405,405,0,138
406,406,0,138
407,407,0,138
408,408,0,138
409,409,0,138
410,410,0,138
411,411,0,138
412,412,0,138
413,413,0,138
414,414,0,138
415,415,0,138
416,416,0,138
417,417,0,138
418,418,0,138
419,419,0,138
420,420,0,138
421,421,0,138
422,422,0,138
423,423,0,138
424,424,0,138
425,425,0,138
426,426,0,138
427,427,0,138
428,428,0,138
429,429,0,138
430,430,0,138
431,431,0,138
432,432,0,138
433,433,0,138
434,434,0,138
435,435,0,138
436,436,0,138
437,437,0,138
438,438,0,138
439,439,0,138
440,440,0,138
441,441,0,138
442,442,0,138
443,443,0,138
444,444,0,138
445,445,0,138
446,446,0,138
447,447,0,138
448,448,0,138
449,449,0,138
450,450,0,138
451,451,0,138
452,452,0,138
453,453,0,138
454,454,0,138
455,455,0,138
456,456,0,138
457,457,0,138
458,458,0,138
459,459,0,138
460,460,0,138
461,461,0,138
462,462,0,138
463,463,0,138
464,464,0,138
465,465,0,138
466,466,0,138
467,467,0,138
468,468,0,138
469,469,0,138
470,470,0,138
471,471,0,138
472,472,0,138
473,473,0,138
474,474,0,138
475,475,0,138
476,476,0,138
477,477,0,138
478,478,0,138
479,479,0,138
480,480,0,138
481,481,0,138
482,482,0,138
483,483,0,138
484,484,0,138
485,485,0,138
486,486,0,138
487,487,0,138
488,488,0,138
489,489,0,138
490,490,0,138
491,491,0,138
492,492,0,138
493,493,0,138
494,494,0,138
495,495,0,138
496,496,0,138
497,497,0,138
498,498,0,138
499,499,0,138
500,500,0,138
501,501,0,138
502,502,0,138
503,503,0,138
504,504,0,138
505,505,0,138
506,506,0,138
507,507,0,138
